ROWNUM;name;adress;okrug;rayon;form_of_incorporation;submission;tip_uchrezhdeniya;vid_uchrezhdeniya;telephone;web_site;e_mail;X;Y;global_id;
673;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 684";"125315, г. Москва, улица Усиевича, дом 31 А";"Северный административный округ";"район Аэропорт";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"151-24-81";"schs684.mskobr.ru";"admin_sch684@mail.ru";"37,515853";"55,807802";"86930508";
674;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 694";"127287, г. Москва, 2-ая Хуторская улица, дом 15/17";"Северный административный округ";"Савёловский район";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"760-95-65";"schs694.mskobr.ru";"sch694@mail.ru";"37,576165";"55,805957";"86930510";
675;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 698";"125284 г. Москва, 1-й Боткинский пр-д, д. 9";"Северный административный округ";"район Беговой";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 945-96-63";"schs698.mskobr.ru/";"msk@school698.ru";"37,558556";"55,785361";"86930511";
676;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №704";"125057, г. Москва, улица Острякова, дом 7";"Северный административный округ";"Хорошёвский район";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"157-59-26";"shcs704.mskobr.ru";"school704@yandex.ru";"37,525454";"55,799164";"86930512";
677;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа  № 706";"125252, г. Москва, Песчаный пер., д. 6";"Северный административный округ";"район Сокол";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"198-17-31";"schs706.mskobr.ru";"sh706Dan@rambler.ru";"37,508309";"55,799792";"86930513";
678;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 717";"125171 г. Москва, улица Зои и Александра Космодемьянских, дом 4-а";"Северный административный округ";"Войковский район";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 150-13-14";"schs717.mskobr.ru";"sch717@mail.ru";"37,504837";"55,81746";"86930514";
679;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 725";"125414, г. Москва ул. Фестивальная, д. 42";"Северный административный округ";"Головинский район";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"453-91-03";"schs725.mskobr.ru";"school725@mail.ru";"37,510283";"55,862226";"86930515";
680;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 726";"125171 г. Москва,ул. Зои и Александра Космодемьянских., д. 6а";"Северный административный округ";"Войковский район";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 150-14-13";"sch726s.mskobr.ru";"sch726@mail.ru";"37,506948";"55,81801";"86930516";
681;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 727";"125438 г. Москва, 3-й Лихачевский переулок, дом 2а";"Северный административный округ";"Головинский район";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"154-02-39";"schs727.mskobr.ru";"NVBelousova@BK.ru";"37,516615";"55,846849";"86930517";
682;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 739";"125252, г. Москва, улица Сальвадора Альенде, дом 6";"Северный административный округ";"район Сокол";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 198-26-03; (499) 198-37-11";"schs739.mskobr.ru";"school739@mail.ru";"37,505634";"55,795978";"86930518";
683;"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 744 имени Петра Николаевича Еремеева";"125212, г. Москва, Ленинградское шоссе, д. 30";"Северный административный округ";"Войковский район";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"159-75-73";"";"shkola-7442006@yandex.ru";"37,49108";"55,829143";"86930520";
684;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 747";"125171 г. Москва, ул. 2 Радиаторская, д. 9";"Северный административный округ";"Войковский район";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 150-85-62; (499) 150-85-63";"";"school-747@yandex.ru";"37,490999";"55,819836";"86930521";
685;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 847";"125412, г. Москва, Коровинское шоссе, дом 24-а";"Северный административный округ";"Дмитровский район";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 906-77-81";"schs847.mskobr.ru";"school-847@mail.ru";"37,521849";"55,882193";"86930523";
686;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 848";"125183, г. Москва, ул. Академическая Б. улица, дом 77 А";"Северный административный округ";"район Коптево";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"482-59-01";"schs848.mskobr.ru";"school848@rambler.ru";"37,55341";"55,844677";"86930524";
687;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 849";"127247, г. Москва, Бескудниковский бульвар, дом 50-а";"Северный административный округ";"Бескудниковский район";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"488-12-75";"schs849.mskobr.ru";"sc849@mail.ru";"37,539786";"55,875536";"86930525";
688;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 885";"127550, г. Москва, Дмитровское шоссе, д. 43, корп. 2";"Северный административный округ";"Тимирязевский район";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 976-98-24";"schs885.mskobr.ru";"shkola885@mail.ru";"37,570072";"55,83318";"86930526";
689;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 929";"127434, г. Москва, улица Немчинова, дом 8";"Северный административный округ";"Тимирязевский район";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"977-00-11";"sch929s.mskobr.ru";"school929_73@mail.ru";"37,567427";"55,824062";"86930527";
690;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1112 имени Героя Советского Союза В.В. Колесника";"125502, г. Москва, ул. Фестивальная, дом 69";"Северный административный округ";"район Ховрино";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"455-82-44";"schs1112.mskobr.ru";"School1112@mail.ru";"37,503022";"55,862459";"86930529";
691;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1120";"127591, г. Москва, улица Дубнинская, дом 36А";"Северный административный округ";"район Восточное Дегунино";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"485-78-54";"schs1120.mskobr.ru";"sch1120@rambler.ru";"37,560906";"55,886035";"86930530";
692;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная  школа № 1121";"127247, г. Москва, Бескудниковский бульвар, дом 50б";"Северный административный округ";"Бескудниковский район";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"483-35-86";"schs1121.mskobr.ru";"school.1121@mail.ru";"37,541594";"55,875476";"86930531";
693;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1125";"125599, г. Москва, ул. Бусиновская Горка, дом 7, корпус 2";"Северный административный округ";"район Западное Дегунино";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 486-02-14; (495) 486-01-07";"schs1125.mskobr.ru";"school1125@mail.ru";"37,492465";"55,882516";"86930532";
694;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1164";"127220, г. Москва, Писцовая улица, дом 7а";"Северный административный округ";"Савёловский район";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"656-07-50";"sch1164.sao.mskobr.ru";"sch1164@list.ru";"37,574191";"55,797254";"86930534";
695;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2020";"125475 г. Москва, ул. Клинская, д. 20а";"Северный административный округ";"район Ховрино";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 451-01-90; (495) 451-02-56";"schs2020.mskobr.ru";"school@sсhool2020.org.ru";"37,491682";"55,870003";"86930566";
696;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2043";"127247, г. Москва, Бескудниковский проезд, дом 4а";"Северный административный округ";"Бескудниковский район";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 489-72-53; (499) 489-72-31; (499) 489-72-40; (499) 489-72-16";"sch2043s.mskobr.ru";"school2043@mail.ru";"37,554394";"55,874915";"86930567";
697;"Автономная некоммерческая организация негосударственная образовательная организация ""Наши традиции""";"мичуринский проспект дом 6 корпус 4";"Западный административный округ";"район Раменки";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 988-89-05,(495) 988-89-06";"";"traditsii@gmail.com";"37,525243";"55,713766";"86930653";
698;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 332";"127543, г. Москва, ул. Корнейчука, д. 52 А";"Северо-Восточный административный округ";"район Бибирево";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 207-23-00";"sch332sv.mskobr.ru";"Sch332@yandex.ru";"37,625184";"55,895394";"86930656";
699;"Негосударственное образовательное учреждение ""Елизаветинская гимназия""";"119017, г. Москва, ул. Большая Ордынка, д. 36, стр. 1";"Центральный административный округ";"Таганский район";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 651-84-47";"";"eligim@eligim.ru";"37,677748";"55,733577";"86930674";
700;"Автономная негосударственная организация Средняя общеобразовательная школа ""ИНТЕК""";"";"Западный административный округ";"";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 739-72-31";"";"";"37,423291";"55,740171";"86930681";
701;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2053";"111674, г. Москва, улица Покровская, дом 35";"Юго-Восточный административный округ";"район Некрасовка";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 753-19-21; (499) 753-19-22";"dsuv2723.mskobr.ru";"s2053@mail.ru";"37,919046";"55,705776";"86930747";
702;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 229 имени Бауыржана Момышулы";"";"Зеленоградский административный округ";"район Крюково";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 731-55-30";"schzg229.mskobr.ru";"s229@zou.ru";"37,16876";"55,979512";"86930754";
703;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1100";"117630, г. Москва, улица Академика Челомея, дом 6а";"Юго-Западный административный округ";"Обручевский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"936-30-95";"";"detsad1100@mail.ru";"37,526173";"55,661015";"86930853";
704;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 937 имени Героя Российской Федерации А.В. Перова";"115569 г. Москва, ул. Маршала Захарова,д.25,к.2";"Южный административный округ";"район Орехово-Борисово Северное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"393-61-55";"schu937.mskobr.ru";"sch937@sinergi.ru";"37,699312";"55,619051";"86930868";
705;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2054";"127051 г.Москва, Трубная ул., д.36";"Центральный административный округ";"Мещанский район";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"608-33-05";"schc2054.mskobr.ru/";"sch2054@yandex.ru";"37,624742";"55,772294";"86930923";
706;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2055";"123317 г.Москва, Стрельбищенский пер., д.14";"Центральный административный округ";"Пресненский район";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"259-41-63";"schc83.mskobr.ru";"2055school@mail.ru";"37,540257";"55,759718";"86930925";
707;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1623";"117587 г. Москва, Варшавское шоссе, дом 126А";"Южный административный округ";"район Чертаново Северное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"315-37-19";"schu1623.mskobr.ru/";"sch1623@sinergi.ru";"37,614915";"55,627809";"86930944";
708;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №654 имени А.Д. Фридмана";"109129, г. Москва, ул. Юных Ленинцев, д. 35, к.2";"Юго-Восточный административный округ";"район Текстильщики";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 179-76-51; (499) 179-57-06";"cog654.mskobr.ru";"co654@list.ru";"37,744656";"55,701004";"86930952";
709;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2051 ""Педагогический комплекс""";"111674, г. Москва, проспект Защитников Москвы, д. 9, корп.2";"Юго-Восточный административный округ";"район Некрасовка";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 783-83-14; (495) 967-86-21";"dsuv2725.mskobr.ru";"co2051@gmail.com";"37,918681";"55,701865";"86930953";
710;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2057";"105318, Москва Город, Семеновская Площадь, 4";"";"";"Государственное";"Троицкое и новомосковское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495)847-85-57";"sch2057tn.mskobr.ru";"";"37,721118";"55,781335";"86930964";
711;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2058";"105318, Москва Город, Семеновская Площадь, 4";"";"";"Государственное";"Троицкое и новомосковское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(496)347-51-44";"sch2058tn.mskobr.ru";"";"37,72137";"55,781428";"86930965";
712;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2059";"105318, Москва Город, Семеновская Площадь, 4";"";"";"Государственное";"Троицкое и новомосковское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495)845-89-06";"sch2059tn.mskobr.ru";"";"37,721177";"55,781382";"86930966";
713;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2060";"105318, Москва Город, Семеновская Площадь, 4";"";"";"Государственное";"Троицкое и новомосковское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495)845-71-22";"sch2060tn.mskobr.ru";"gorchakovo-scool@yandex.ru";"37,721281";"55,781347";"86930967";
714;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2061";"143397, г. Москва, поселение Первомайское, п. Первомайское, Парковая улица, д.1";"";"";"Государственное";"Троицкое и новомосковское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495)845-96-36";"sch2061tn.mskobr.ru";"";"37,157733";"55,542241";"86930968";
715;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2062";"143340,г.Москва, п. Новофедоровское, дер. Яковлевское";"";"";"Государственное";"Троицкое и новомосковское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495)842-01-42";"sch2062tn.mskobr.ru";"";"37,020978";"55,522665";"86930970";
716;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2063";"142784, г. Москва, г. Московский , 1 микрорайон,  46";"";"";"Государственное";"Троицкое и новомосковское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495)841-87-46";"sch2063tn.mskobr.ru";"school_1@inbox.ru";"37,345772";"55,603544";"86930985";
717;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2064";"105318, Москва Город, Семеновская Площадь, 4";"";"";"Государственное";"Троицкое и новомосковское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499)558-06-75";"sch2064tn.mskobr.ru";"";"37,721155";"55,781425";"86930986";
718;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2065 ""Вектор""";"142784 г .Москва,г.Московский, Радужная ул.5.";"";"";"Государственное";"Троицкое и новомосковское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495)642-60-96";"sch2065tn.mskobr.ru";"msk3vector@mail.ru";"37,372211";"55,592575";"86930987";
719;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2066";"105318, Москва Город, Семеновская Площадь, 4";"";"";"Государственное";"Троицкое и новомосковское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495)736-63-90";"sch2066tn.mskobr.ru";"";"37,720916";"55,781349";"86930988";
720;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2067";"105318, Москва Город, Семеновская Площадь, 4";"";"";"Государственное";"Троицкое и новомосковское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495)659-56-88";"sch2067tn.mskobr.ru";"Vsosch@mail.ru";"37,720998";"55,781316";"86930990";
721;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2068";"105318, Москва Город, Семеновская Площадь, 4";"";"";"Государственное";"Троицкое и новомосковское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495)841-50-79";"sch2068tn.mskobr.ru";"jakovlevo_school@mail.ru";"37,720825";"55,781405";"86930992";
722;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2069";"142771, г. Москва, п.""Мосрентген"", пос. завода Мосрентген, д 38";"";"";"Государственное";"Троицкое и новомосковское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495)424-08-11";"sch2069tn.mskobr.ru";"";"37,473223";"55,61593";"86930993";
723;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2070";"105318, Москва Город, Семеновская Площадь, 4";"";"";"Государственное";"Троицкое и новомосковское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(498)617-88-70";"sch2070tn.mskobr.ru";"";"37,720933";"55,781389";"86930994";
724;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2071";"142762 г. Москва, п. Филимонковское, пос. Марьино";"";"";"Государственное";"Троицкое и новомосковское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(498)627-72-64";"sch2071tn.mskobr.ru";"marinolen@mail.ru";"37,323769";"55,549513";"86930996";
725;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2073";"142160, г.Москва, поселение Вороновское, п. ЛМС, мкр. Центральный";"";"";"Государственное";"Троицкое и новомосковское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495)850-73-73";"sch2073tn.mskobr.ru";"";"37,324112";"55,500156";"86931012";
726;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2074";"142136, Москва Город, Кленовское Поселение, Кленово Село, Центральная Улица, 2";"";"";"Государственное";"Троицкое и новомосковское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495)865-63-72";"sch2074tn.mskobr.ru";"";"37,578115";"55,46548";"86931013";
727;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2075";"142150, г.Москва, поселение Краснопахорское, с.Красная Пахра";"";"";"Государственное";"Троицкое и новомосковское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495)850-82-59";"sch2075tn.mskobr.ru";"";"37,311946";"55,505966";"86931014";
728;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2076";"105318, г. Москва, Семеновская площадь, д.4";"";"";"Государственное";"Троицкое и новомосковское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495)850-57-82";"";"";"37,720846";"55,781321";"86931015";
729;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2078";"105318, Москва Город, Семеновская Площадь, 4";"";"";"Государственное";"Троицкое и новомосковское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495)850-96-50";"sch2078tn.mskobr.ru";"";"37,721286";"55,781398";"86931016";
730;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2079";"105318, город Москва, Семеновская Площадь, 4";"";"";"Государственное";"Троицкое и новомосковское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495)867-43-75";"sch2079tn.mskobr.ru";"";"37,721029";"55,781355";"86931017";
731;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2080";"105318, Москва Город, Семеновская Площадь, 4";"";"";"Государственное";"Троицкое и новомосковское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495)867-83-61";"sch2080tn.mskobr.ru";"";"37,721047";"55,781421";"86931018";
732;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2082";"142102, г. Москва, п. Рязановское, пос. Ерино, ул. Высокая, д. 4";"";"";"Государственное";"Троицкое и новомосковское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495)867-71-27";"sch2082tn.mskobr.ru";"";"37,518988";"55,449702";"86931020";
733;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2083 ""Родники""";"142134, г. Москва, п. Рязановское, п. Знамя Октября, мкр. ""Родники"", д.11";"";"";"Государственное";"Троицкое и новомосковское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495)858-05-41";"sch2083tn.mskobr.ru";"adm@schoolrodniki.ru";"37,54082";"55,469187";"86931021";
734;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2084";"142138, Москва Город, Щаповское Поселение, Курилово Поселок, Школьная Улица, д. 3";"";"";"Государственное";"Троицкое и новомосковское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495)865-86-05";"sch2084tn.mskobr.ru";"kurschool_07@mail.ru";"37,507307";"55,432557";"86931023";
735;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2085";"142144, город Москва, поселение Щаповское, поселок Щапово";"";"";"Государственное";"Троицкое и новомосковское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495)865-67-23";"sch2085tn.mskobr.ru";"schapovo-school@inbox.ru";"37,402345";"55,473794";"86931024";
736;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2072";"111394, г.Москва, ул.Утренняя, д.12";"Восточный административный округ";"район Новогиреево";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 306-00-21; (495) 368-00-44; (495) 306-02-30";"http://cov2072.mskobr.ru";"school2072@mail.ru";"37,792227";"55,746448";"86931027";
737;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (русским)компонентом образования № 998";"115408 город Москва, улица Борисовские пруды, дом 36,корпус 2";"Южный административный округ";"район Братеево";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 342-96-94; (495) 342-04-56";"scheu998.mskobr.ru";"sch998@sinergi.ru";"37,76785";"55,640754";"86931028";
