ROWNUM;CommonName;FullName;ShortName;AdmArea;District;Address;ChiefName;ChiefPosition;PublicPhone;Fax;Email;WorkingHours;ClarificationOfWorkingHours;WebSite;OKPO;INN;MainHallCapacity;AdditionalHallCapacity;X_WGS;Y_WGS;GLOBALID;
93;"Театр на Таганке";"Государственное бюджетное учреждение культуры города Москвы «Московский театр на Таганке»";"ГБУК г. Москвы «Московский театр на Таганке»";"Центральный административный округ";"Таганский район";"улица Земляной Вал, дом 76/21";"Золотухин Валерий Сергеевич";"директор";"(495) 915-11-53; (499) 764-92-24";"(499) 764-92-24";"taganka-theatre@mtu-net.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"taganka.theatre.ru";"2190134";"7709010548";"478";"110";"37.653913";"55.743253";"87036491";
94;"Театр";"Студия театрального искусства";"Театр";"Центральный административный округ";"Таганский район";"ул Станиславского, д.21 стр.7";"";"";"(495) 646 74 59";"";"teatr@sti.ru";"";"";"sti.ru";"";"";"";"";"37.661277";"55.745491";"85978515";
95;"Театр";"Smile";"Театр";"Центральный административный округ";"Таганский район";"ул. Солянка, д.9а, стр. 1";"";"";"(495) 649 68 63";"";"smile-theater@yandex.ru";"";"";"smile-theater.ru";"";"";"";"";"37.641547";"55.752278";"85978516";
96;"Театр";"Событие";"Театр";"Южный административный округ";"Нагорный район";"Варшавское ш., д.38";"";"";"(499) 408 60 75, (926) 804 51 01";"";"teatrsobytie@mail.ru";"";"";"teatrsobytie.ru";"";"";"";"";"37.623979";"55.67798";"85978517";
97;"Театр";"Квартет И";"Театр";"Центральный административный округ";"Тверской район";"ул. Лесная, д.18";"";"";"(499) 973 34 61, 250 41 15,";"";"";"";"";"kvartet-i.ru";"";"";"";"";"37.590251";"55.778988";"85978518";
98;"Театр";"МХТ им. Чехова";"Театр";"Центральный административный округ";"Тверской район";"Камергерский пер., д.3";"";"";"(495) 646 36 46, 692 67 48";"";"mxat@list.ru";"";"";"mxat.ru";"";"";"";"";"37.61314";"55.760082";"85978519";
99;"Театр";"Молодежный музыкальный театр «Лотос»";"Театр";"Северо-Восточный административный округ";"район Бибирево";"ул. Лескова, д.7";"";"";"(917) 573 16 92";"";"";"";"";"lotos.musicals.ru";"";"";"";"";"37.596055";"55.899426";"85978520";
100;"Театр";"Театр мюзикла";"Театр";"Западный административный округ";"район Филёвский Парк";"ул. Новозаводская, д.27";"";"";"(495) 660 92 02, 797 63 00";"";"ofis@teamuz.com";"";"";"teamuz.ru";"";"";"";"";"37.497142";"55.750192";"85978521";
101;"Театр";"Театр-студия Lege Artis";"Театр";"Северный административный округ";"Хорошёвский район";"Ленинградский пр-т, д.47";"";"";"(903) 104 52 02";"";"teatr_legeartis@mail.ru";"";"";"legeartis.su";"";"";"";"";"37.531727";"55.799262";"85978522";
102;"Театр";"Театральный институт им. Щукина при Театре им. Вахтангова";"Театр";"Центральный административный округ";"район Арбат";"Большой Николопесковский пер., д.12а";"";"";"(499) 241 64 61, 244 05 65";"";"sh-tea-inst@mail.ru";"";"";"htvs.ru";"";"";"";"";"37.590407";"55.751687";"85978523";
103;"Театр";"Цирк на проспекте Вернадского";"Театр";"Юго-Западный административный округ";"Гагаринский район";"пр-т Вернадского, д.7";"";"";"(495) 930 28 15, 930 03 00, 939 45 47";"";"info@bigcirc.ru";"";"";"bolshoicircus.ru";"";"";"";"";"37.540344";"55.69436";"85978524";
104;"Театр";"Политеатр";"Театр";"Центральный административный округ";"Тверской район";"Новая пл., д.3/4";"";"";"(495) 623 69 16, 544 55 45";"";"press@polymus.ru";"";"";"polyteatr.ru";"";"";"";"";"37.629513";"55.757796";"85978525";
105;"Театр";"Новый арт-театр";"Театр";"Южный административный округ";"Донской район";"Ленинский пр-т, д.37а";"";"";"(495) 510 56 23, 979 12 75, (499) 123 03 11";"";"art-teatr-01@yandex.ru";"";"";"art-teatr.ru";"";"";"";"";"37.58664";"55.709084";"85978526";
106;"Театр";"Театральный центр «На Страстном»";"Театр";"Центральный административный округ";"Тверской район";"Страстной б-р, д.8а";"";"";"(495) 694 46 81, 629 10 56";"";"strastnoy@theatre.ru";"";"";"strastnoy.theatre.ru";"";"";"";"";"37.610807";"55.7663";"85978527";
107;"Театр";"Театр кукол «Альбатрос»";"Театр";"Восточный административный округ";"район Измайлово";"4-я Парковая, д.24а";"";"";"(499) 367 53 72, (495) 517 22 23";"";"tk-albatros@mail.ru";"";"";"tk-albatros.ru";"";"";"";"";"37.787136";"55.794638";"85978528";
108;"Театр";"Филиал Малого театра";"Театр";"Центральный административный округ";"район Замоскворечье";"ул. Большая Ордынка, д.69";"";"";"(499) 237 31 81, 237 44 72";"";"";"";"";"maly.ru";"";"";"";"";"37.624597";"55.730613";"85978529";
109;"Театр";"Театр на набережной";"Театр";"Центральный административный округ";"район Хамовники";"Фрунзенская наб., д.48";"";"";"(499) 242 56 85";"";"nabereg@inbox.ru";"";"";"nabereg. ru";"";"";"";"";"37.579803";"55.717954";"85978530";
110;"Театр «Киноспектакль»";"Государственное бюджетное учреждение культуры города Москвы «Московский театр «Киноспектакль»";"ГБУК г. Москвы «Московский театр «Киноспектакль»";"Центральный административный округ";"Пресненский район";"Малый Козихинский переулок, дом 4, строение 1";"Лещинер Олег Дмитриевич";"директор";"(495) 697-57-97";"(495) 697-57-97";"kinospektakl@mail.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"kinospektakl.ru";"43237924";"7734061088";"47";"";"37.594691";"55.76394";"87036546";
111;"Цыганский театр «Ромэн»";"Государственное бюджетное учреждение культуры города Москвы «Московский музыкально-драматический цыганский театр «Ромэн»";"ГБУК г. Москвы «Цыганский театр «Ромэн»";"Северный административный округ";"район Беговой";"Ленинградский проспект, дом 32/2";"Морозов Юрий Алексеевич";"директор";"(495) 612-03-33; (495) 614-80-79";"(495) 614-80-70; (495) 614-80-79";"morozov@teatr-romen.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"teatr-romen.ru";"2190157";"7714035227";"514";"";"37.569327";"55.784732";"87036547";
112;"Центр драматургии и режиссуры";"Государственное бюджетное учреждение культуры города Москвы «Театр «Центр драматургии и режиссуры»";"ГБУК г. Москвы «Театр «Центр драматургии и режиссуры»";"Северный административный округ";"район Беговой";"Беговая улица, дом 5";"Палагута Дмитрий Валентинович";"директор";"(495) 946-19-28";"(499) 248-02-54";"kazantsev-center@mail.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"сdr.theatre.ru";"57990146";"7722284474";"100";"56";"37.554849";"55.776757";"87036548";
113;"Детский камерный театр кукол";"Государственное бюджетное учреждение культуры города Москвы «Московский детский камерный театр кукол»";"ГБУК г. Москвы «Московский детский камерный театр кукол»";"Северо-Восточный административный округ";"район Ростокино";"улица Бажова, дом 9";"Александров Анатолий Иванович";"директор";"(499) 181-51-41; (499) 181-03-91";"(499) 181-03-91";"mdktk@mail.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"mdktk.ru";"17666803";"7716101796";"120";"";"37.661509";"55.835038";"87036549";
114;"Новый драматический театр";"Государственное бюджетное учреждение культуры города Москвы «Московский новый драматический театр»";"ГБУК г. Москвы «Московский новый драматический театр»";"Северо-Восточный административный округ";"Ярославский район";"улица Проходчиков, дом 2";"Долгачев Вячеслав Васильевич";"директор";"(495) 182-03-56; (499) 182-03-56; (499) 182-03-38";"(495) 182-03-38";"ndteatr@mail.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"newteatr.ru";"5112873";"7716028803";"194";"72";"37.721041";"55.873719";"87036550";
115;"Театр Русский камерный балет Москва";"Государственное бюджетное учреждение культуры города Москвы «Театр Русский камерный балет Москва»";"ГБУК г. Москвы «Театр Русский камерный балет «Москва»";"Центральный административный округ";"Красносельский район";"Новорязанская улица, дом 16";"Тупысева Елена Михайловна";"директор";"(495) 607-01-29; (495) 607-70-97";"(495) 607-70-97";"info@baletmoskva.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"baletmoskva.ru";"17666453";"7722010233";"";"";"37.660573";"55.771943";"87036508";
116;"Молодежный театр под руководством Спесивцева";"Государственное бюджетное учреждение культуры города Москвы «Московский молодежный экспериментальный театр под руководством Вячеслава Спесивцева»";"ГБУК г. Москвы «ММЭТ п/р В. Спесивцева»";"Северо-Восточный административный округ";"Бутырский район";"улица Руставели, дом 19";"Спесивцев Вячеслав Семенович";"директор";"(495) 618-23-32; (495) 618-19-35";"(495) 618-23-32";"zavlit2004@list.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"";"17665755";"7715049230";"304";"";"37.598775";"55.813814";"87036551";
117;"Театр «Тень»";"Государственное бюджетное учреждение культуры города Москвы «Московский театр «Тень»";"ГБУК г. Москвы «Московский театр «Тень»";"Северо-Восточный административный округ";"район Марьина Роща";"Октябрьская улица, дом 5";"Краснопольская Майя Александровна";"директор";"(495) 681-15-16; (495) 681-35-90";"(495) 681-35-90";"tenjtenjtenj@gmail.com";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"";"11420509";"7715102388";"5";"50";"37.613582";"55.785533";"87036552";
118;"Историко-этнографический театр";"Государственное бюджетное учреждение культуры города Москвы «Московский государственный историко-этнографический театр»";"ГБУК г. Москвы «МГИЭТ»";"Северо-Восточный административный округ";"Бабушкинский район";"улица Рудневой, дом 3";"Мизюков Михаил Александрович";"директор";"(495) 184-17-11; (495) 184-17-22; (495) 184-00-83";"(495) 184-17-22";"mgiet@mgiet.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"mgiet.ru";"27989996";"7716149741";"176";"";"37.680999";"55.863779";"87036553";
119;"Театр кукол «Жар-птица»";"Государственное бюджетное учреждение культуры города Москвы «Московский театр кукол «Жар-птица»";"ГБУК г. Москвы «Московский театр кукол «Жар-птица»";"Восточный административный округ";"район Сокольники";"улица Стромынка, дом 3";"Неруш Людмила Викторовна";"директор";"(499) 268-58-26; (499) 268-16-27; (495) 603-32-42";"(495) 268-58-26";"teatr-kykol@bk.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"teatr-zhar-ptitsa.ru";"36532646";"7701020760";"154";"";"37.68308";"55.79077";"87036554";
120;"Театр";"Хореографический ансамбль «Березка» им. Надеждиной";"Театр";"Центральный административный округ";"Пресненский район";"Леонтьевский пер., д.7, стр. 1б";"";"";"(495) 690 18 40";"";"berezka@hloptic.ru";"";"";"berezkadance.ru";"";"";"";"";"37.601724";"55.758806";"85978561";
121;"Театр";"Театр-студия «Галерка»";"Театр";"Центральный административный округ";"район Замоскворечье";"ул. Бахрушина, д.17";"";"";"(919) 767 34 03";"";"";"";"";"нагалерке.рф";"";"";"";"";"37.63611";"55.73485";"85978562";
122;"Театр";"Союз театральных деятелей РФ";"Театр";"Центральный административный округ";"Тверской район";"Страстной б-р, д.10";"";"";"(495) 650 28 46";"";"stdrf@stdrf.ru";"";"";"stdrf.ru";"";"";"";"";"37.610947";"55.766713";"85978563";
123;"Театр";"Мастерская движения «Кроме слов»";"Театр";"Центральный административный округ";"Таганский район";"Нижний Таганский тупик, д.3";"";"";"(905) 744 64 22";"";"veronika.chernysheva@gmail.com";"";"";"kromeslow.ru";"";"";"";"";"37.651825";"55.744503";"85978564";
124;"Театр";"Бу...";"Театр";"Центральный административный округ";"Пресненский район";"ул. Большая Садовая, д.10";"";"";"(495) 970 06 19";"";"teatr-bu@gmail.ru";"";"";"teatr-bu.ru";"";"";"";"";"37.59363";"55.767073";"85978565";
125;"Театр";"Театрально-концертное агентство «Рим»";"Театр";"Центральный административный округ";"Тверской район";"ул. Новослободская, д.23";"";"";"(495) 744 01 09";"";"teatr-bu@gmail.ru";"";"";"rimagency.com";"";"";"";"";"37.598199";"55.781477";"85978566";
126;"Театр";"Мастер";"Театр";"Центральный административный округ";"Пресненский район";"Большая Никитская, д.35";"";"";"(495) 755 31 76";"";"";"";"";"mtm.theatre.ru";"";"";"";"";"37.595063";"55.757223";"85978567";
127;"Театр";"Цирк «Радуга»";"Театр";"Северный административный округ";"район Левобережный";"ул. Флотская, д.5а";"";"";"";"";"dr_vitali@msn.com";"";"";"cirkusraduga@rambler.ru";"";"";"";"";"37.492497";"55.851508";"85978568";
128;"Театр";"МХАТ им. Горького";"Театр";"Центральный административный округ";"Пресненский район";"Тверской б-р, д.22";"";"";"(495) 697 87 73, 697 62 22";"";"mxat@list.ru";"";"";"mxat-teatr.ru";"";"";"";"";"37.603618";"55.761577";"85978569";
129;"Театр";"Детский театр «Тик-Так»";"Театр";"Центральный административный округ";"Пресненский район";"ул. Красная Пресня, д.4а";"";"";"(495) 255 57 63";"";"tik-tak-teatre@yandex.ru";"";"";"tik-tak-teatre.ru";"";"";"";"";"37.57588";"55.761681";"85978570";
130;"Театр";"Театр-77";"Театр";"Юго-Западный административный округ";"Гагаринский район";"Ленинский пр-т, д.77";"";"";"(499) 132 88 00";"";"tepigra@mail.ru";"";"";"tepigra.ru";"";"";"";"";"37.543018";"55.685654";"85978571";
131;"Театр";"Театр эмоциональной драмы";"Театр";"Центральный административный округ";"Таганский район";"ул. Библиотечная, д.23";"";"";"(495) 678 52 96";"";"";"";"";"";"";"";"";"";"37.675486";"55.744885";"85978572";
132;"Театр";"Театральная студия «Новый факультет»";"Театр";"Восточный административный округ";"район Сокольники";"Стромынский пер., д.5";"";"";"(926) 567 29 37, (916) 171 14 09";"";"";"";"";"";"";"";"";"";"37.694964";"55.792668";"85978573";
133;"Театр";"Еврейский театр Zay Gezunt";"Театр";"Центральный административный округ";"район Хамовники";"ул. Малая Пироговская, д.5";"";"";"(495) 246 90 90";"";"zaygezunt@mail.ru";"";"";"zaygezunt.ucoz.ru";"";"";"";"";"37.573408";"55.730746";"85978574";
134;"Театр";"Русский балет";"Театр";"Юго-Восточный административный округ";"район Кузьминки";"Волгоградский пр-т, д.121";"";"";"(495) 379 43 24, 175 33 39";"";"rusbalet@mail.ru";"";"";"russballet.ru";"";"";"";"";"37.767104";"55.708162";"85978575";
135;"Театр";"Театр-студия «Чайка»";"Театр";"Восточный административный округ";"район Соколиная Гора";"пр-т Буденного, д.14";"";"";"(499) 785 89 12, 785 89 76";"";"nfo@dkchayka.ru";"";"";"teatr-chayka.ru";"";"";"";"";"37.720372";"55.777474";"85978591";
136;"Театр";"Созвездие";"Театр";"Восточный административный округ";"район Гольяново";"ул. Новосибирская, д.11";"";"";"(495) 466 97 95, (926) 823 41 10";"";"kcsozvezdie@kcsozvezdie.ru, kcsozvezdie@gmail.com";"";"";"kcsozvezdie.ru";"";"";"";"";"37.818666";"55.816419";"85978592";
137;"Театр";"Театр сказки «Аквамарин»";"Театр";"Западный административный округ";"район Кунцево";"ул. Ивана Франко, д.14";"";"";"(495) 792 30 72";"";"";"";"";"circ-a.ruskazka/";"";"";"";"";"37.440826";"55.728545";"85978593";
138;"Театр";"Вернадского, 13";"Театр";"Юго-Западный административный округ";"Ломоносовский район";"пр-т Вернадского, д.13";"";"";"(495) 930 75 77, 930 81 77, (916) 131 66 64";"";"teаtr13@mail.ru";"";"";"teatr13.ru";"";"";"";"";"37.527625";"55.687484";"85978594";
139;"Театр";"Театр народной музыки и песни «Золотое кольцо»";"Театр";"Северный административный округ";"Тимирязевский район";"ул. Тимирязевская, д.17а";"";"";"(495) 611 48 00";"";"teatr@golden-ring.ru";"";"";"golden-ring.ru";"";"";"";"";"37.567179";"55.811848";"85978595";
140;"Театр";"Театр 31";"Театр";"Восточный административный округ";"район Богородское";"ул. Бойцовая, д.22, стр. 3";"";"";"(915) 470 70 55";"";"";"";"";"teatr31.ru";"";"";"";"";"37.724489";"55.815497";"85978596";
141;"Театр";"Камерный музыкальный театр им. Бориса Покровского";"Театр";"Центральный административный округ";"Тверской район";"ул. Никольская, д.17";"";"";"(495) 606 01 08, 620 13 26";"";"opera-pokrovsky@mail.ru";"";"";"opera-pokrovsky.ru";"";"";"";"";"37.623402";"55.758108";"85978597";
142;"Театр";"Драм-Антре";"Театр";"Центральный административный округ";"Мещанский район";"ул. Большая Лубянка, д.13/16";"";"";"(495) 518 02 85";"";"";"";"";"dramantre.ru";"";"";"";"";"37.629269";"55.764246";"85978598";
143;"Театр";"Буфф";"Театр";"Центральный административный округ";"Тверской район";"ул. Лесная, д.59, стр. 1";"";"";"(499) 250 15 10";"";"teatr-buff@yandex.ru";"";"";"teatr-buff.ru";"";"";"";"";"37.593373";"55.78196";"85978599";
144;"Театр";"Тихий омут";"Театр";"Западный административный округ";"район Дорогомилово";"ул. Дениса Давыдова, д.3";"";"";"(916) 501 70 48, (903) 251 43 75, (903) 683 21 39";"";"praxa-omut@yandex.ru";"";"";"tsd-tihomut.ru";"";"";"";"";"37.519761";"55.739041";"85978600";
145;"Театр";"Фэст";"Театр";"Значения отсутствуют в справочнике";"Значения отсутствуют в справочнике";"МО, г.Мытищи, ул. Щербакова, д.6а";"";"";"(495) 586 22 99, 586 07 77";"";"";"";"";"";"";"";"";"";"37.725768";"55.900021";"85978601";
146;"Театр";"Экспромт";"Театр";"Центральный административный округ";"Басманный район";"ул. Макаренко, д.2/21";"";"";"(495) 621 01 16, 621 38 93";"";"";"";"";"";"";"";"";"";"37.646182";"55.760826";"85988002";
147;"Театр";"Малая драматическая труппа";"Театр";"Южный административный округ";"район Чертаново Северное";"Сумской пр-д, д.6а";"";"";"(495) 311 11 53";"";"";"";"";"theatre-mdt.ru";"";"";"";"";"37.609634";"55.635938";"85988003";
148;"Театр";"Театр им. Островского";"Театр";"Юго-Восточный административный округ";"район Кузьминки";"Волгоградский пр-т, д.121";"";"";"(499) 175 33 39";"";"tostrovskogo@mail.ru";"";"";"oteatre.ru";"";"";"";"";"37.767104";"55.708162";"85988004";
149;"Театр";"ТОТ";"Театр";"Юго-Западный административный округ";"район Зюзино";"Севастопольский пр-т, д.61";"";"";"(495) 135 09 43";"";"tottheatre@yandex.ru";"";"";"tottheatre.ru";"";"";"";"";"37.577442";"55.661293";"85988005";
150;"Театр";"Цирк-шапито «Инантеп»";"Театр";"Южный административный округ";"район Братеево";"ул. Братеевская, д.4б";"";"";"(495) 342 59 28";"";"mayackaya@gmail.com";"";"";"circusbrateevo.ru";"";"";"";"";"37.754487";"55.630716";"85988051";
151;"Театр";"Триумф";"Театр";"Центральный административный округ";"Тверской район";"ул. Александра Невского, д.4";"";"";"(495) 231 02 25";"";"triumfik@mail.ru";"";"";"vokaltanec.ruadresa.html";"";"";"";"";"37.592594";"55.777017";"85988052";
152;"Театр";"Театр-студия «Отражение»";"Театр";"Северо-Восточный административный округ";"Алексеевский район";"Кулаков пер., д.9а";"";"";"(495) 728 99 01";"";"info@studio-otragenie.ru";"";"";"studio-otragenie.ru";"";"";"";"";"37.642564";"55.804795";"85988053";
153;"Театр";"Детский театр-студия «Сценка»";"Театр";"Юго-Западный административный округ";"Обручевский район";"ул. Обручева, д.24";"";"";"(495) 735 01 26";"";"7350126@mail.ru";"";"";"teatr-scenka.ucoz.ru";"";"";"";"";"37.518326";"55.65741";"85988054";
154;"Театр";"Наш дом";"Театр";"Значения отсутствуют в справочнике";"Значения отсутствуют в справочнике";"МО, г. Химки, ул. Маяковского, д.22";"";"";"(495) 573 80 47";"";"";"";"";"";"";"";"";"";"37.206518";"55.608196";"85988055";
155;"Театр";"Театр литературной импровизации";"Театр";"Северо-Восточный административный округ";"Бабушкинский район";"ул. Верхоянская, д.6, корп. 1";"";"";"(903) 500 23 61";"";"Sergius50@mail.ru";"";"";"ipteatr.ru";"";"";"";"";"37.669573";"55.858475";"85988056";
156;"Театр";"Мастерская театральных ремесел п/р Андрея Щукина";"Театр";"Центральный административный округ";"Тверской район";"Большой Гнездниковский пер., д.10";"";"";"(495) 629 86 61, (499) 241 64 61";"";"";"";"";"vk.com/wukini_deti";"";"";"";"";"37.605811";"55.763312";"85988057";
157;"Театр";"Театр-студия им. Штейна";"Театр";"Южный административный округ";"Даниловский район";"ул. Восточная, д.4, корп. 1";"";"";"(495) 675 16 36";"";"";"";"";"slonhorton.ru";"";"";"";"";"37.657869";"55.714426";"85988058";
158;"Театр";"Школа-студия актерского мастерства НИУ ВШЭ";"Театр";"Центральный административный округ";"Басманный район";"ул. Мясницкая, д.20";"";"";"(495) 624 17 49";"";"teatr_hse@mail.ru";"";"";"hse.ruculture/theatre/";"";"";"";"";"37.633431";"55.761447";"85988059";
159;"Театр";"Живая сказка";"Театр";"Центральный административный округ";"Басманный район";"ул. Макаренко, д.4, стр. 1";"";"";"(495) 625 18 04, 625 33 19";"";"zhiv-skazka@yandex.ru";"";"";"zhiv-skazka.narod2.ru";"";"";"";"";"37.64768";"55.761269";"85988060";
160;"Театр";"Театр «Школа драматического искусства» под рук-м Анатольева Васильева";"Театр";"Центральный административный округ";"Мещанский район";"ул. Сретенка, д.21/28";"";"";"691-50-39";"";"";"";"";"";"";"";"";"";"37.63209";"55.770592";"85988061";
161;"Театр";"Театр «русский дом»";"Театр";"Центральный административный округ";"Красносельский район";"Сретенский б-р, д.6/1 стр.2";"";"";"624-59-90";"";"teatr-rd@endex.ru";"";"";"russky-dom.ru";"";"";"";"";"37.63491";"55.765637";"85988062";
162;"Театр";"Федеральное бюджетное учреждение культуры «Государственный академический малый театр России (филиал)";"Театр";"Центральный административный округ";"район Замоскворечье";"ул. Большая Ордынка, д.69";"";"";"625-43-37";"";"Info@maly.ru";"";"";"maly.ru";"";"";"";"";"37.624597";"55.730613";"85988063";
163;"Театр";"ГБУК театр РАТИ ГИТИС";"Театр";"Центральный административный округ";"Тверской район";"Большой Гнездниковский пер., д.10";"";"";"(495) 629-70-87";"";"";"";"";"gitis.net";"";"";"";"";"37.605811";"55.763312";"85988064";
164;"Театр";"Дом актера";"Театр";"Центральный административный округ";"район Арбат";"ул. Арбат, д.35";"";"";"(495) 241 11 51";"";"pressacda@yandex.ru";"";"";"rfcda.ru";"";"";"";"";"37.591566";"55.749077";"85988006";
165;"Театр";"Свободный театр Нины Чусовой";"Театр";"Юго-Западный административный округ";"Гагаринский район";"пр-т Вернадского, д.9/10";"";"";"(499) 131 71 11";"";"";"";"";"st-portret.ru";"";"";"";"";"37.532819";"55.690227";"85988007";
166;"Театр";"Кремлевский балет";"Театр";"Центральный административный округ";"Тверской район";"Кремль";"";"";"(495) 620 77 27";"";"6207360@mail.ru";"";"";"kremlin-gkd.ru";"";"";"";"";"37.617294";"55.751705";"85988008";
167;"Театр";"Цирк Никулина на Цветном бульваре";"Театр";"Центральный административный округ";"Тверской район";"Цветной б-р, д.13";"";"";"(495) 625 89 70, 621 14 03";"";"info@circusnikulin.ru";"";"";"circusnikulin.ru";"";"";"";"";"37.619933";"55.770505";"85988009";
168;"Театр";"Театр-студия «Откровение»";"Театр";"Юго-Западный административный округ";"район Коньково";"ул. Островитянова, д.15/1";"";"";"(495) 330 14 22, 330 51 83";"";"otkrovenie04@mail.ru";"";"";"otkrovenie-scena.ru";"";"";"";"";"37.506261";"55.639754";"85988010";
169;"Театр";"Театральная компания Евгения Миронова";"Театр";"Центральный административный округ";"Тверской район";"Петровский пер., д.3";"";"";"(495) 510 02 60";"";"";"";"";"mironovcompany.ru";"";"";"";"";"37.612893";"55.765824";"85988011";
170;"Театр";"Областной камерный театр";"Театр";"Юго-Восточный административный округ";"район Кузьминки";"Волгоградский пр-т, д.121";"";"";"(495) 953 15 69, 951 26 08";"";"kamteatr@mail.ru";"";"";"kamteatr.ru";"";"";"";"";"37.767104";"55.708162";"85988012";
171;"Театр";"Сатирикон";"Театр";"Северо-Восточный административный округ";"район Марьина Роща";"ул. Шереметьевская, д.8";"";"";"(495) 689 78 44, 689 78 85, 602 65 83, 689 78 36";"";"theatre@satiricon.msk.ru";"";"";"satirikon.ru";"";"";"";"";"37.618133";"55.797056";"85988013";
172;"Театр";"Театр-студия оперы РАМ им. Гнесиных";"Театр";"Центральный административный округ";"район Арбат";"Малый Ржевский пер., д.1";"";"";"(495) 290 67 37";"";"mailbox@gnesin-academy.ru";"";"";"gnesin-opera.ru";"";"";"";"";"37.592348";"55.75576";"85988014";
173;"Театр";"Театральный центр «Арт-вояж»";"Театр";"Юго-Восточный административный округ";"Южнопортовый район";"ул. Мельникова, д.7";"";"";"(495) 628 34 21";"";"artvoyj@inbox.ru";"";"";"artvoyg.ru";"";"";"";"";"37.673435";"55.725581";"85988015";
174;"Театр";"Театр киноактера";"Театр";"Центральный административный округ";"район Арбат";"ул. Поварская, д.33";"";"";"(495) 690 28 11";"";"info@teatrkinoaktera.ru";"";"";"teatrkinoaktera.ru";"";"";"";"";"37.586234";"55.756912";"85988016";
175;"Театр";"Кураж";"Театр";"Центральный административный округ";"Басманный район";"Спартаковская пл., д.14, стр. 1";"";"";"(495) 970 14 76, 970 15 51 (доб. 6301, 6302) , 504 73 24, (916) 397 08 86";"";"theatre@kurage.ru";"";"";"kurage.ru";"";"";"";"";"37.679715";"55.776994";"85988017";
176;"Театр";"Мел";"Театр";"Северо-Восточный административный округ";"район Отрадное";"ул. Декабристов, д.2/2";"";"";"(495) 907 21 27, (495) 907 67 19";"";"melteatr@melteatr.ru";"";"";"melteatr.ru";"";"";"";"";"37.592268";"55.867684";"85988018";
177;"Театр";"Амадей";"Театр";"Центральный административный округ";"Пресненский район";"ул. Спиридоновка, д.4";"";"";"(495) 690 09 56";"";"info@amadei.ru";"";"";"amadei.ru";"";"";"";"";"37.596";"55.758678";"85988019";
178;"Театр";"Театр кукол «Огниво»";"Театр";"Значения отсутствуют в справочнике";"Значения отсутствуют в справочнике";"МО, г.Мытищи, ул. Шараповская, д.4, корп. 1.";"";"";"(495) 586 05 06, 583 36 70";"";"";"";"";"";"";"";"";"";"37.730723";"55.899116";"85988020";
179;"Театр";"Эксперимент";"Театр";"Северный административный округ";"Хорошёвский район";"Ленинградский пр-т, д.47";"";"";"(495) 649 13 01, (903) 170 35 67";"";"4021965@list.ru";"";"";"experimenteatr.narod.ru";"";"";"";"";"37.531224";"55.79993";"85988021";
180;"Театр";"Театр Кирилла Ганина";"Театр";"Центральный административный округ";"Басманный район";"ул. Старая Басманная, д.20/1, стр. 13";"";"";"(499) 204 44 60";"";"teatrganina@narod.ru";"";"";"teatrganina.narod.ru";"";"";"";"";"37.664087";"55.766542";"85988022";
181;"Театр";"Дельфинарий";"Театр";"Северо-Восточный административный округ";"Останкинский район";"пр-т Мира, д.119";"";"";"(495) 796 88 26";"";"delfin-show@mail.ru";"";"";"dolphinshow.ru";"";"";"";"";"37.633702";"55.828623";"85988023";
